Feature,Importance
median_income,0.4903841227427041
ocean_proximity_INLAND,0.1413660762078703
longitude,0.10569796374311309
latitude,0.10117047016279804
housing_median_age,0.05231881409604818
population,0.032624739318164835
total_rooms,0.023652297968772846
total_bedrooms,0.02364134484676967
households,0.018240913074753215
ocean_proximity_NEAR OCEAN,0.006415105334471499
ocean_proximity_<1H OCEAN,0.0033937037480443015
ocean_proximity_NEAR BAY,0.0007137661265181438
ocean_proximity_ISLAND,0.0003806826299717249
